,Legacy Xpaths,Components,Styles,Given Components,Given Styles,Match
836,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
837,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/momlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
838,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/irclink,footnote,Footnote Text,footnote,Footnote Text,TRUE
839,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/irclink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
840,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
841,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
842,/book/conceptgroup/concept/collapseBody/conbody/table,table,NormalTbl,table,NormalTbl,TRUE
843,/book/conceptgroup/concept/collapseBody/conbody/table/tbody,table,NormalTbl,table,NormalTbl,TRUE
844,/book/conceptgroup/concept/collapseBody/conbody/table/tbody/tr,table,NormalTbl,table,NormalTbl,TRUE
845,/book/conceptgroup/concept/collapseBody/conbody/table/tbody/tr/td,table,NormalTbl,table,NormalTbl,TRUE
846,/book/conceptgroup/concept/collapseBody/conbody/table/tbody/tr/td/irclink,table,NormalTbl,table,NormalTbl,TRUE
847,/book/conceptgroup/concept/collapseBody/conbody/table/tbody/tr/td/irclink/marker,table,NormalTbl,table,NormalTbl,TRUE
848,/book/conceptgroup/concept/collapseBody/conbody/table/colgroup,table,NormalTbl,table,NormalTbl,TRUE
849,/book/conceptgroup/concept/collapseBody/conbody/table/colgroup/col,table,NormalTbl,table,NormalTbl,TRUE
850,/book/conceptgroup/concept/collapseBody/conbody/section,section,TRContentLevel2,section,TRContentLevel2,TRUE
851,/book/conceptgroup/concept/collapseBody/conbody/section/related-app-content, , ,,,FALSE
852,/book/conceptgroup/concept/collapseBody/conbody/section/related-app-content/related-app-property, , ,,,FALSE
853,/book/conceptgroup/concept/collapseBody/conbody/section/related-app-content/goto-label, , ,,,FALSE
854,/book/conceptgroup/concept/collapseBody/conbody/section/related-app-content/content-label, , ,,,FALSE
855,/book/conceptgroup/concept/collapseBody/conbody/section/related-app-content/description, , ,,,FALSE
856,/book/conceptgroup/concept/collapseBody/conbody/section/ul,list,TRNormal,list,TRNormal,TRUE
857,/book/conceptgroup/concept/collapseBody/conbody/section/ul/li,list,TRNormal,list,TRNormal,TRUE
858,/book/conceptgroup/concept/collapseBody/conbody/section/ul/li/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
859,/book/conceptgroup/concept/collapseBody/conbody/section/ul/li/fn/usclink,footnote,Footnote Text,footnote,Footnote Text,TRUE
860,/book/conceptgroup/concept/collapseBody/conbody/section/ul/li/fn/usclink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
861,/book/conceptgroup/concept/collapseBody/conbody/section/lq,displayQuote,TRBlockStyle,displayQuote,TRBlockStyle,TRUE
862,/book/conceptgroup/concept/collapseBody/conbody/section/lq/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
863,/book/conceptgroup/concept/collapseBody/conbody/section/lq/fn/oaglink,footnote,Footnote Text,footnote,Footnote Text,TRUE
864,/book/conceptgroup/concept/collapseBody/conbody/section/lq/fn/oaglink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
865,/book/conceptgroup/concept/collapseBody/conbody/section/lq/irclink,displayQuote,TRBlockStyle,displayQuote,TRBlockStyle,TRUE
866,/book/conceptgroup/concept/collapseBody/conbody/section/lq/irclink/marker,displayQuote,TRBlockStyle,displayQuote,TRBlockStyle,TRUE
867,/book/conceptgroup/concept/collapseBody/conbody/section/note,note,TRNote,note,TRNote,TRUE
868,/book/conceptgroup/concept/collapseBody/conbody/section/note/ol,list,TRNormal,list,TRNormal,TRUE
869,/book/conceptgroup/concept/collapseBody/conbody/section/note/ol/li,list,TRNormal,list,TRNormal,TRUE
870,/book/conceptgroup/concept/collapseBody/conbody/section/note/ol/li/sttxlink,list,TRNormal,list,TRNormal,TRUE
871,/book/conceptgroup/concept/collapseBody/conbody/section/note/ol/li/sttxlink/marker,list,TRNormal,list,TRNormal,TRUE
872,/book/conceptgroup/concept/collapseBody/conbody/section/note/ol/li/i,list,TRNormal,list,TRNormal,TRUE
873,/book/conceptgroup/concept/collapseBody/conbody/section/note/ol/li/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
874,/book/conceptgroup/concept/collapseBody/conbody/section/note/ol/li/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
875,/book/conceptgroup/concept/collapseBody/conbody/section/note/ol/li/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
876,/book/conceptgroup/concept/collapseBody/conbody/section/note/p,note,TRNote,note,TRNote,TRUE
877,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/b,note,TRNote,note,TRNote,TRUE
878,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/sttxlink,note,TRNote,note,TRNote,TRUE
879,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/sttxlink/marker,note,TRNote,note,TRNote,TRUE
880,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/i,note,TRNote,note,TRNote,TRUE
881,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/irclink,note,TRNote,note,TRNote,TRUE
882,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/irclink/marker,note,TRNote,note,TRNote,TRUE
883,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/exreflink,note,TRNote,note,TRNote,TRUE
884,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/exreflink/marker,note,TRNote,note,TRNote,TRUE
885,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
886,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/exreflink,footnote,Footnote Text,footnote,Footnote Text,TRUE
887,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/exreflink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
888,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/plcitelink,footnote,Footnote Text,footnote,Footnote Text,TRUE
889,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/plcitelink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
890,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/ircpriorlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
891,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/ircpriorlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
892,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/revrlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
893,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/revrlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
894,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/i,footnote,Footnote Text,footnote,Footnote Text,TRUE
895,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/stformlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
896,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/stformlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
897,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
898,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/momlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
899,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/usclink,footnote,Footnote Text,footnote,Footnote Text,TRUE
900,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/usclink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
901,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/strulink,footnote,Footnote Text,footnote,Footnote Text,TRUE
902,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/strulink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
903,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/case,footnote,Footnote Text,footnote,Footnote Text,TRUE
904,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/case/casepart,footnote,Footnote Text,footnote,Footnote Text,TRUE
905,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/case/casepart/casedisplay,footnote,Footnote Text,footnote,Footnote Text,TRUE
906,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/case/casepart/casedisplay/cslink,footnote,Footnote Text,footnote,Footnote Text,TRUE
907,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/case/casepart/casedisplay/cslink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
908,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/irclink,footnote,Footnote Text,footnote,Footnote Text,TRUE
909,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/irclink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
910,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
911,/book/conceptgroup/concept/collapseBody/conbody/section/note/p/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
912,/book/conceptgroup/concept/collapseBody/conbody/section/section,section,TRContentLevel3,section,TRContentLevel3,TRUE
913,/book/conceptgroup/concept/collapseBody/conbody/section/section/section,section,TRContentLevel4,section,TRContentLevel4,TRUE
914,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example,example,TRExample,example,TRExample,TRUE
915,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example/title,example,TRExample,example,TRExample,TRUE
916,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example/p,example,TRExample,example,TRExample,TRUE
917,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example/p/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
918,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example/p/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
919,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example/p/fn/momlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
920,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example/p/fn/strulink,footnote,Footnote Text,footnote,Footnote Text,TRUE
921,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example/p/fn/strulink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
922,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example/p/irclink,example,TRExample,example,TRExample,TRUE
923,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/example/p/irclink/marker,example,TRExample,example,TRExample,TRUE
924,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/p,paragraph,TRNormal,paragraph,TRNormal,TRUE
925,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/p/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
926,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/p/fn/sttxlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
927,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/p/fn/sttxlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
928,/book/conceptgroup/concept/collapseBody/conbody/section/section/section/p/fn/momlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
